Country,year,sex,age,suicides_no,population,
Anguilla,1990,male,25-34 years,0,,#DIV/0!
Anguilla,1990,male,35-54 years,0,,#DIV/0!
Anguilla,1990,male,5-14 years,0,,#DIV/0!
Anguilla,1990,male,55-74 years,0,,#DIV/0!
Anguilla,1990,male,75+ years,0,,#DIV/0!
Anguilla,1991,female,15-24 years,0,,#DIV/0!
Anguilla,1991,female,25-34 years,0,,#DIV/0!
Anguilla,1991,female,35-54 years,0,,#DIV/0!
Anguilla,1991,female,5-14 years,0,,#DIV/0!
Anguilla,1991,female,55-74 years,0,,#DIV/0!
Anguilla,1991,female,75+ years,0,,#DIV/0!
Anguilla,1991,male,15-24 years,0,,#DIV/0!
Anguilla,1991,male,25-34 years,0,,#DIV/0!
Anguilla,1991,male,35-54 years,0,,#DIV/0!
Anguilla,1991,male,5-14 years,0,,#DIV/0!
Anguilla,1991,male,55-74 years,0,,#DIV/0!
Anguilla,1991,male,75+ years,0,,#DIV/0!
Anguilla,1992,female,15-24 years,0,,#DIV/0!
Anguilla,1992,female,25-34 years,0,,#DIV/0!
Anguilla,1992,female,35-54 years,0,,#DIV/0!
Anguilla,1992,female,5-14 years,0,,#DIV/0!
Anguilla,1992,female,55-74 years,0,,#DIV/0!
Anguilla,1992,female,75+ years,0,,#DIV/0!
Anguilla,1992,male,15-24 years,0,,#DIV/0!
Anguilla,1992,male,25-34 years,0,,#DIV/0!
Anguilla,1992,male,35-54 years,0,,#DIV/0!
Anguilla,1992,male,5-14 years,0,,#DIV/0!
Anguilla,1992,male,55-74 years,0,,#DIV/0!
Anguilla,1992,male,75+ years,0,,#DIV/0!
Anguilla,1993,female,15-24 years,0,,#DIV/0!
Anguilla,1993,female,25-34 years,0,,#DIV/0!
Anguilla,1993,female,35-54 years,0,,#DIV/0!
Anguilla,1993,female,5-14 years,0,,#DIV/0!
Anguilla,1993,female,55-74 years,0,,#DIV/0!
Anguilla,1993,female,75+ years,0,,#DIV/0!
Anguilla,1993,male,15-24 years,0,,#DIV/0!
Anguilla,1993,male,25-34 years,0,,#DIV/0!
Anguilla,1993,male,35-54 years,0,,#DIV/0!
Anguilla,1993,male,5-14 years,0,,#DIV/0!
Anguilla,1993,male,55-74 years,0,,#DIV/0!
Anguilla,1993,male,75+ years,0,,#DIV/0!
Anguilla,1994,female,15-24 years,0,,#DIV/0!
Anguilla,1994,female,25-34 years,0,,#DIV/0!
Anguilla,1994,female,35-54 years,0,,#DIV/0!
Anguilla,1994,female,5-14 years,0,,#DIV/0!
Anguilla,1994,female,55-74 years,0,,#DIV/0!
Anguilla,1994,female,75+ years,0,,#DIV/0!
Anguilla,1994,male,15-24 years,0,,#DIV/0!
Anguilla,1994,male,25-34 years,0,,#DIV/0!
Anguilla,1994,male,35-54 years,0,,#DIV/0!
Anguilla,1994,male,5-14 years,0,,#DIV/0!
Anguilla,1994,male,55-74 years,0,,#DIV/0!
Anguilla,1994,male,75+ years,0,,#DIV/0!
Anguilla,1995,female,15-24 years,0,,#DIV/0!
Anguilla,1995,female,25-34 years,0,,#DIV/0!
Anguilla,1995,female,35-54 years,0,,#DIV/0!
Anguilla,1995,female,5-14 years,0,,#DIV/0!
Anguilla,1995,female,55-74 years,0,,#DIV/0!
Anguilla,1995,female,75+ years,0,,#DIV/0!
Anguilla,1995,male,15-24 years,0,,#DIV/0!
Anguilla,1995,male,25-34 years,0,,#DIV/0!
Anguilla,1995,male,35-54 years,0,,#DIV/0!
Anguilla,1995,male,5-14 years,0,,#DIV/0!
Anguilla,1995,male,55-74 years,0,,#DIV/0!
Anguilla,1995,male,75+ years,0,,#DIV/0!
Anguilla,2000,female,15-24 years,0,,#DIV/0!
Anguilla,2000,female,25-34 years,0,,#DIV/0!
Anguilla,2000,female,35-54 years,0,,#DIV/0!
Anguilla,2000,female,5-14 years,0,,#DIV/0!
Anguilla,2000,female,55-74 years,0,,#DIV/0!
Anguilla,2000,female,75+ years,0,,#DIV/0!
Anguilla,2000,male,15-24 years,0,,#DIV/0!
Anguilla,2000,male,25-34 years,0,,#DIV/0!
Anguilla,2000,male,35-54 years,0,,#DIV/0!
Anguilla,2000,male,5-14 years,0,,#DIV/0!
Anguilla,2000,male,55-74 years,0,,#DIV/0!
Anguilla,2000,male,75+ years,0,,#DIV/0!
Anguilla,2001,female,15-24 years,0,,#DIV/0!
Anguilla,2001,female,25-34 years,0,,#DIV/0!
Anguilla,2001,female,35-54 years,0,,#DIV/0!
Anguilla,2001,female,5-14 years,0,,#DIV/0!
Anguilla,2001,female,55-74 years,0,,#DIV/0!
